1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
139.3125,147.5625,139.0000,146.8750,98.0936,121529300,0.3476
148.2500,148.2500,135.0000,139.5625,93.2098,156770800,0.0000
139.7500,144.5625,132.7187,137.4375,91.7906,186938300,0.0000
137.6250,155.7500,135.0312,150.3750,100.6846,247594900,0.3708
150.1250,153.1093,133.5000,145.0937,97.1485,229246200,0.0000
146.5625,148.4843,136.5000,142.8125,95.6211,161024000,0.0000
143.6875,149.1562,143.0000,145.2812,97.5052,127146000,0.3484
145.4375,151.9843,141.5156,143.0000,95.9742,106780100,0.0000
143.6250,153.0937,142.6250,152.3437,102.2452,102365500,0.0000
153.2500,153.5937,142.1250,143.6250,96.6415,113203000,0.3753
144.2812,145.7500,130.1562,142.9531,96.1894,178392400,0.0000
142.2500,144.2968,129.7500,132.2812,89.0085,156699900,0.0000
133.1875,139.5625,125.5312,131.1875,88.5498,165416700,0.4113
132.0000,138.7000,127.5625,137.0200,92.4867,181296400,0.0000
137.1000,137.9900,121.8000,123.9500,83.6646,178607000,0.0000
124.0500,127.7500,108.0400,116.6900,78.9803,318187200,0.3155
116.3000,127.2700,109.3000,126.6600,85.7284,251839700,0.0000
125.0700,132.0900,123.4400,125.9500,85.2478,208040000,0.0000
126.2000,129.2300,120.4000,122.6000,83.2163,203578200,0.3464
122.8000,124.3200,116.7500,121.3500,82.3679,196892900,0.0000
121.9700,123.2500,112.0400,114.1500,77.4808,269599600,0.0000
113.8500,116.1700,93.8000,104.4400,71.1589,419156100,0.3690
103.9000,111.7900,102.8300,105.8000,72.0855,512612000,0.0000
106.6000,116.9000,105.7000,114.0500,77.7066,372515000,0.0000
113.6500,118.0000,112.0000,114.3000,78.143,308403900,0.3928
115.1100,117.9900,108.4000,113.1800,77.3773,349380000,0.0000
113.0900,113.3000,107.8200,111.1500,75.9894,424492600,0.0000
111.7200,117.9000,111.5100,114.5200,78.5155,385578100,0.3310
114.2300,115.1000,106.6300,107.8600,73.9494,404461000,0.0000
107.9700,111.2500,104.9000,107.2200,73.5106,452626500,0.0000
107.0900,107.6000,95.1900,98.9600,68.089,534883500,0.3534
99.1800,99.8000,77.6800,91.1600,62.7223,1124248800,0.0000
90.8800,97.1500,83.5500,91.7800,63.1488,936191200,0.0000
90.7300,93.3300,80.9000,81.7900,56.5275,1013828600,0.3781
82.4300,91.2900,77.0700,88.5200,61.1788,1344248100,0.0000
88.3500,94.9500,87.4500,93.9800,64.9524,818243400,0.0000
95.4700,96.0500,87.1100,88.2300,61.2737,728285900,0.4358
88.8500,93.8600,84.1500,86.0600,59.7667,911319900,0.0000
86.1400,86.8100,81.0000,84.9000,58.9611,862248300,0.0000
85.2600,89.8800,79.3800,84.7400,59.0826,1156870200,0.3544
85.2500,92.8000,84.9100,91.9100,64.0817,996114200,0.0000
91.9200,97.0900,90.5000,96.9500,67.5957,881509900,0.0000
97.5300,102.1800,96.6700,97.6300,68.3164,867970200,0.3603
97.2500,101.9000,96.4300,99.3900,69.5479,895260500,0.0000
99.1900,101.8200,96.3400,101.4400,70.9824,772702000,0.0000
101.6400,104.7000,99.2500,99.9500,70.2097,818513400,0.4001
100.2400,105.9700,100.2000,105.3000,73.9678,831700900,0.0000
105.7500,106.9500,103.6200,106.4500,74.7756,630654200,0.0000
106.8500,111.5200,105.9600,111.2800,78.5385,678350400,0.5156
111.7400,116.5000,110.7300,113.4800,80.0912,737674000,0.0000
113.7000,116.6000,112.7800,115.0200,81.1781,676976900,0.0000
115.4300,116.9700,108.8500,113.1000,80.1067,1125003900,0.3948
113.0700,115.4100,110.9000,110.9600,78.591,968620900,0.0000
111.3700,113.2600,108.0600,112.8600,79.9368,981083900,0.0000
112.4600,114.9400,111.8700,114.5300,81.415,721880400,0.4138
114.2500,114.4000,108.2100,110.8400,78.7919,954619200,0.0000
110.1900,111.6300,106.5900,111.1100,78.9838,922892000,0.0000
110.9500,113.7400,110.4100,111.7600,79.775,790891900,0.4688
112.2600,114.6800,109.3500,113.2000,80.8029,1044071300,0.0000
113.5600,119.1400,113.2000,117.8900,84.3994,961601700,0.3510
118.1600,121.6600,117.7300,120.8700,86.9443,909170200,0.5679
121.5600,121.7600,116.3700,118.1600,84.9949,1184211500,0.0000
118.2500,121.6700,118.1000,120.6300,86.7717,1025608400,0.0000
120.8200,123.2500,116.2500,117.9600,85.1854,1330548800,0.4671
118.6300,119.2600,113.5500,115.7500,83.5895,1633318500,0.0000
116.0700,120.2500,114.8000,119.4800,86.2831,1334647300,0.0000
119.5200,121.9400,118.7500,119.1800,86.4123,1089322900,0.4876
119.4500,124.6400,118.2600,123.7400,89.7185,1176306400,0.0000
123.8300,124.7400,120.3800,122.5800,88.8775,1306564800,0.0000
122.5200,124.7400,120.4400,123.0400,89.5878,1287005000,0.5217
122.9600,123.3400,116.8800,120.1300,87.469,1784566400,0.0000
120.5800,127.4100,120.1300,125.4100,91.3135,1183732800,0.0000
126.0200,128.0900,124.3600,124.5100,91.1401,1073146800,0.6717
125.1900,129.4400,124.3900,127.5000,93.3287,1233910800,0.0000
127.8200,130.0400,125.4000,128.2300,93.8631,1145244400,0.0000
128.6000,131.4700,127.1800,129.8300,95.4122,1350777100,0.5195
130.0700,131.8600,128.0200,131.4700,96.6174,1300327900,0.0000
131.4700,132.8000,124.7600,127.5100,93.7072,1752747100,0.0000
127.3800,129.4300,122.3400,127.2800,93.955,2163829300,0.5555
127.4300,128.1400,122.3900,127.8500,94.3758,1691301400,0.0000
127.3400,131.0400,126.2800,130.6400,96.4353,1420345400,0.0000
131.1400,133.9900,129.3500,133.5800,99.0384,1363687900,0.5793
133.5400,139.0000,132.6500,137.7900,102.1598,1443344100,0.0000
138.2200,141.1600,135.6200,140.5300,104.1913,1502059900,0.0000
140.5300,143.2400,138.9700,141.6200,105.5841,1212756800,0.7926
142.2500,144.1300,140.2500,143.7500,107.1722,1330329900,0.0000
144.1500,146.4200,139.0000,140.9300,105.0697,1494548900,0.0000
139.3400,143.8100,136.7500,142.0000,106.2887,2918304400,0.5513
142.1600,149.8000,141.4800,148.2900,110.9969,1791289900,0.0000
148.4200,153.8900,147.6700,153.3200,114.7619,2508178000,0.0000
153.8800,154.4000,148.0600,150.4300,113.081,3502885400,0.6556
150.8700,155.5300,145.0400,145.7200,109.5404,3988676200,0.0000
145.1800,150.5900,137.0000,147.5900,110.9461,6195918600,0.0000
147.4500,154.3900,144.3300,152.5800,115.2396,2967009200,0.7187
152.6000,157.5200,148.6600,154.6500,116.803,3850069600,0.0000
153.2900,153.4100,140.6600,148.6600,112.2789,5472709900,0.0000
148.1900,152.8900,143.9600,146.2100,111.0066,3293787500,0.7754
146.5300,146.9900,126.0000,137.3700,104.295,6106834300,0.0000
137.9400,139.6100,131.7300,133.8200,101.5997,4151028600,0.0000
133.1400,135.8100,126.0700,131.9700,100.6822,5462121800,0.6420
133.6100,140.5900,132.3300,138.2600,105.4809,4014652600,0.0000
138.3800,144.3000,137.5200,140.3500,107.0754,3646997000,0.0000
139.8300,140.8900,127.0400,127.9800,98.1347,5408930000,0.6692
126.5200,129.1600,120.0200,126.8300,97.2529,7156206800,0.0000
127.1200,131.5100,124.7600,128.7900,98.7558,4344355500,0.0000
130.0300,130.7100,110.5300,115.9900,89.4359,8105188900,0.6909
115.2700,116.6900,83.5800,96.8300,74.6623,11882352200,0.0000
96.7800,100.8600,74.3400,90.0900,69.4653,8762237000,0.0000
87.5100,92.4300,81.8600,90.2400,70.1485,6919927700,0.7193
90.4400,94.4500,80.0500,82.8300,64.3883,6872039400,0.0000
81.5700,87.7400,73.8100,73.9300,57.4699,7275092500,0.0000
72.5200,83.3000,67.1000,79.5200,62.2677,8813959700,0.5614
78.5300,89.0200,78.3300,87.4200,68.4537,6023006600,0.0000
87.4400,93.7000,86.7200,92.5300,72.4551,5195735600,0.0000
93.6700,96.1100,88.8500,91.9500,72.4063,5054855000,0.5182
92.3400,99.8300,87.0000,98.8100,77.8082,4295844600,0.0000
99.8500,104.3500,98.1100,102.4600,80.6824,3954118963,0.0000
101.9500,108.0600,99.5700,105.5900,83.5432,3774712350,0.5083
103.0000,110.3100,101.9900,103.5600,81.9371,4478118719,0.0000
104.1300,111.7400,103.0800,109.9400,86.9849,3428177124,0.0000
110.9200,113.0300,109.0200,111.4400,88.6439,2878516757,0.5902
112.3700,115.1400,107.2200,107.3900,85.4224,3705733018,0.0000
108.1500,111.5800,104.5800,110.7400,88.0871,4439171207,0.0000
111.2000,118.1700,111.1700,117.0000,93.4521,3699245612,0.4804
117.8000,122.1200,117.1000,118.8100,94.8978,4004277783,0.0000
119.3800,120.6800,104.3800,109.3700,87.3577,7402768337,0.0000
108.3500,113.2000,102.8800,103.2200,82.8375,5696350357,0.5313
103.1500,112.2900,101.1300,110.2700,88.4954,4717472942,0.0000
111.9900,113.1800,104.2900,105.3100,84.5148,4536956409,0.0000
106.7300,115.7900,106.6600,114.1300,92.0834,4042638784,0.6021
114.9900,119.7600,113.1800,118.4900,95.6012,3763467063,0.0000
119.0700,122.9500,117.5900,118.4900,95.6012,3978049158,0.0000
120.2000,126.2000,120.1900,125.7500,101.9916,2718639268,0.6528
126.7100,130.3500,125.7000,128.6800,104.368,2857000899,0.0000
129.4600,134.6900,129.3800,133.1500,107.9935,2815864041,0.0000
133.5700,133.6900,125.2800,132.5900,108.005,4776136726,0.5533
133.4100,136.5700,129.5100,136.4300,111.133,2811243192,0.0000
137.0700,137.1800,131.3800,134.9000,109.8867,3333953417,0.0000
134.5100,134.9200,126.1900,131.9700,108.0311,4675957703,0.6276
132.0900,135.7000,127.9700,129.3300,105.8699,3830169325,0.0000
130.8400,130.9600,110.2700,122.2200,100.0497,9023719820,0.0000
122.2900,123.4000,111.3000,113.1500,93.1013,6173479911,0.6250
112.4900,129.4200,107.4300,125.5000,103.263,5706349377,0.0000
122.0300,128.0200,116.2000,124.9900,102.8434,4994461652,0.0000
124.8500,127.2600,120.0300,125.5000,103.9171,3835567090,0.7701
127.7600,133.4000,126.4300,131.3200,108.7362,2877125732,0.0000
132.2900,138.1900,132.1300,137.0200,113.4559,2887994942,0.0000
137.3100,141.8300,134.3600,140.8100,117.1043,3051602568,0.6139
140.6400,142.2100,135.7600,139.8700,116.3226,3022691643,0.0000
139.7900,141.6600,129.5500,131.4700,109.3367,3998284713,0.0000
129.4100,136.2700,127.1400,136.1000,113.768,3640166489,0.6883
136.4800,139.3400,132.6000,137.7100,115.1138,2857498501,0.0000
138.7000,143.0900,135.5800,141.1600,117.9977,2410281680,0.0000
141.0400,148.1100,140.1300,143.9700,120.9897,2388041836,0.7794
144.5200,147.1600,140.3900,141.3500,118.7879,2716359739,0.0000
141.6500,143.7200,134.7000,142.1500,119.4602,3027334368,0.0000
142.8000,145.5800,139.5400,142.4100,120.5352,2884366197,1.0218
145.1100,150.9400,144.7300,149.7000,126.7054,2583855935,0.0000
150.6500,153.2800,148.7300,151.6100,128.322,2565517631,0.0000
151.0900,156.8500,150.4100,156.6700,133.1951,2326952774,0.6937
156.5900,159.7200,153.5500,159.6800,135.7541,2901276707,0.0000
159.3300,169.0700,158.1000,163.4500,138.9592,2776278334,0.0000
163.8300,165.9900,155.7300,160.4200,137.1026,3522568591,0.8391
161.2600,169.8600,160.2200,168.7100,144.1877,2314233963,0.0000
169.9900,170.9700,163.0500,163.6500,139.8632,2279523923,0.0000
165.2300,173.6000,163.7000,168.0100,144.2942,2237776606,0.8379
168.1400,177.5100,164.5300,175.7900,150.976,2893983294,0.0000
176.0200,181.7500,174.7600,181.0000,155.4506,1931935724,0.0000
181.0900,184.6900,177.3200,184.6900,159.4761,2232670202,0.9802
183.9800,184.9400,176.8800,178.1800,153.8548,2530649614,0.0000
177.9700,187.1500,173.7100,186.2900,160.8577,2394183674,0.0000
184.6500,189.0200,183.7500,187.0100,162.1945,2553782755,0.8246
187.6200,189.7000,181.3100,188.3100,163.322,2345807033,0.0000
188.2200,192.8000,186.0100,192.6800,167.1121,1780157245,0.0000
192.9500,196.6000,191.9700,195.7200,170.5602,1675360233,0.9367
196.2000,199.0600,192.9700,193.0900,168.2683,1893838621,0.0000
192.5600,200.8200,190.5500,200.7100,174.9087,1829764370,0.0000
200.9700,201.9000,196.0500,197.0200,172.4965,2106580212,0.9392
196.7000,201.8200,181.9200,201.6600,176.559,3943067849,0.0000
201.9200,207.8700,200.0600,207.2000,181.4094,1571225009,0.0000
206.4000,212.9700,197.8600,205.5400,180.945,3045170856,1.1349
206.3800,206.8800,198.5500,199.4500,175.5837,3183506003,0.0000
200.0500,212.2400,197.8600,210.6600,185.4523,1901638015,0.0000
210.7800,212.0600,204.1200,206.4300,182.5324,2749923097,0.9308
206.4300,212.4800,204.5100,208.4600,184.3274,2036685271,0.0000
